0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:37:32 +0530] "GET /Code_Complexity_measuring_tool/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 311949
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:39:13 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 7702
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:39:13 +0530] "GET /Code_Complexity_measuring_tool/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:39:13 +0530] "GET /Code_Complexity_measuring_tool/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:39:13 +0530] "GET /Code_Complexity_measuring_tool/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:39:13 +0530] "GET /Code_Complexity_measuring_tool/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:42:57 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 7702
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:42:57 +0530] "GET /Code_Complexity_measuring_tool/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:42:57 +0530] "GET /Code_Complexity_measuring_tool/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:42:57 +0530] "GET /Code_Complexity_measuring_tool/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:42:57 +0530] "GET /Code_Complexity_measuring_tool/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:43:00 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 7702
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:44:19 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 7666
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:44:19 +0530] "GET /Code_Complexity_measuring_tool/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:44:19 +0530] "GET /Code_Complexity_measuring_tool/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:44:19 +0530] "GET /Code_Complexity_measuring_tool/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:44:19 +0530] "GET /Code_Complexity_measuring_tool/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:49:08 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 7709
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:49:08 +0530] "GET /Code_Complexity_measuring_tool/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2020:01:49:08 +0530] "GET /Code_Complexity_measuring_tool/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
