0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:44:25 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-pie-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:44:25 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-area-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:44:25 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:44:25 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:13:44:25 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/css/dropzone.css HTTP/1.1" 200 13174
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/js/dropzone.js HTTP/1.1" 200 138452
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/vendor/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-area-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-pie-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:11 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:30:21 +0530] "POST /Code_Complexity_measuring_tool/Upload HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:32:33 +0530] "POST /Code_Complexity_measuring_tool/Upload HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:32:51 +0530] "GET /Code_Complexity_measuring_tool/css/dropzone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:32:51 +0530] "GET /Code_Complexity_measuring_tool/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 311949
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:35:26 +0530] "GET /Code_Complexity_measuring_tool/Upload HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:51 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 7847
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/css/dropzone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-pie-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/vendor/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/js/dropzone.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-area-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:52 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:37:56 +0530] "POST /Code_Complexity_measuring_tool/total_weight.php HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:49:17 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 5813
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:49:17 +0530] "GET /Code_Complexity_measuring_tool/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:49:17 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:49:17 +0530] "GET /Code_Complexity_measuring_tool/css/dropzone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2020:14:49:17 +0530] "GET /Code_Complexity_measuring_tool/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
