127.0.0.1 - - [24/Mar/2020:22:10:31 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 9663
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/css/upload-contain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/css/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/vendor/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-area-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/js/demo/chart-pie-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/js/sb-admin-2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:04 +0530] "GET /Code_Complexity_measuring_tool/js/dropzone.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:06 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:06 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:06 +0530] "GET /Code_Complexity_measuring_tool/vendor/fontawesome-free/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:11:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:26:15 +0530] "GET /Code_Complexity_measuring_tool/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 311949
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:59:36 +0530] "GET /Code_Complexity_measuring_tool/sizeMeasure.jsp HTTP/1.1" 200 6568
0:0:0:0:0:0:0:1 - - [24/Mar/2020:22:59:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
